No,title,author,cost,review,sales_volume
62,엑셀 2019,김지연 저,"20,000",10.0,"판매지수 5,658"
63,C 언어 콘서트,천인국 저,"27,000",10.0,"판매지수 8,730"
64,알기 쉬운 알고리즘,양성봉 저,"24,500",9.3,"판매지수 2,769"
65,클로드 코드를 활용한 바이브 코딩 완벽 입문,히라카와 토모히데 저/최용 역,"23,400",리뷰 없음,"판매지수 1,902"
66,"오픈클로 with GPT, 제미나이, 클로드",강민혁 저,"19,800",리뷰 없음,"판매지수 1,806"
67,네트워크 · 보안 엔지니어를 위한 챗GPT 활용 기술,박진산 저,"24,300",리뷰 없음,"판매지수 1,386"
68,자율형 AI 에이전트 서비스 구축하기,정금호 저,"24,300",리뷰 없음,판매지수 846
69,AI 워커스: 리디자인,김아람 저,"22,500",10.0,"판매지수 1,263"
70,엔트리로 배우는 게임 만들기 This is Coding 학교편,"김한나, 이지은 저/KIE 기획연구실 감수","12,600",리뷰 없음,"판매지수 1,200"
71,엑셀로 배우는 데이터 분석,박주미 저,"26,000",리뷰 없음,"판매지수 1,698"
72,된다! 하루 만에 끝내는 챗GPT 활용법,프롬프트 크리에이터 저,"18,000",9.4,"판매지수 37,353"
73,Do it! LLM을 활용한 AI 에이전트 개발 입문,이성용 저,"31,500",9.7,"판매지수 19,110"
74,Do it! 오토캐드 2026,박한울 저,"26,550",10.0,"판매지수 5,652"
75,혼자 공부하는 머신러닝+딥러닝,박해선 저,"28,800",9.7,"판매지수 21,327"
76,맛있는 디자인 포토샵 CC 2025,"윤이사라, 김신애 저","22,500",9.8,"판매지수 6,000"
77,와그작 파포 2021 AI+인터넷,놀이교육콘텐츠랩 저,"12,600",리뷰 없음,"판매지수 3,462"
78,Wireshark로 배우는 컴퓨터 네트워크,"김봉한, 이재광 저","39,000",리뷰 없음,"판매지수 2,508"
79,밑바닥부터 시작하는 딥러닝 1,사이토 고키 저/개앞맵시 역,"23,400",9.2,"판매지수 12,582"
